True_Open,Pred_Open,True_High,Pred_High,True_Low,Pred_Low,True_Close,close
-0.007447311,0.00259984,-0.008181359,-0.000662357,-0.024453288,-0.000312346,-0.021133242,-0.000495793
-0.017462501,0.002596541,-0.007133167,-0.000809702,0.004839326,-0.000408636,0.008238533,-0.000588106
0.010444538304387851,0.002595161,0.018605791208856196,-0.000871358,0.013472459565359918,-0.000448931,0.024981231077301887,-0.000626736
0.018985474006369296,0.002596932,-0.005936683,-0.000792212,0.00350624,-0.000397207,-0.012905836,-0.000577149
-0.006447825,0.002596158,-0.00050945,-0.000826832,0.003780646,-0.000419831,-0.00160862,-0.000598839
-0.008000504,0.002595456,-0.010113136,-0.000858159,-0.029393649,-0.000440304,-0.029269754,-0.000618467
-0.03026003,0.002593661,-0.028625122,-0.000938374,-0.018037884,-0.000492726,-0.007409678,-0.000668723
-0.006054836,0.002590755,-0.00332134,-0.001068155,-0.005232749,-0.000577539,0.004769113,-0.000750035
0.001050293,0.002591905,0.014280427974706189,-0.001016818,0.015970743310300017,-0.00054399,0.004474825,-0.000717871
0.012438761631632822,0.002595274,0.001760144,-0.000866317,-0.014183761,-0.000445636,-0.023942907,-0.000623578
-0.030391287,0.002595226,-0.030542349,-0.00086846,-0.02823802,-0.000447036,-0.025280774,-0.00062492
-0.016865326,0.002591527,0.026820861,-0.001033695,0.007105683,-0.000555019,0.058525156,-0.000728445
0.054326815155133046,0.002595176,0.010153984,-0.000870701,0.051053246113275545,-0.000448501,0.013055519,-0.000626325
0.009712996,0.002601605,0.023345278717966437,-0.000583515,0.011482636,-0.000260821,0.022372459914456355,-0.000446395
0.023836655,0.002604342,0.010453102785981992,-0.000461216,0.026523627,-0.000180897,0.010039792473817142,-0.000369772
0.009566165,0.002604307,0.006776936,-0.000462808,0.005959695,-0.000181939,0.007740164,-0.00037077
0.002087936,0.002603021,0.00213938,-0.000520234,0.002040837,-0.000219467,0.002119917,-0.000406748
0.006357946,0.002602146,0.028061052344549475,-0.000559347,0.010313457982789043,-0.000245027,0.024937140433203497,-0.000431254
0.028778296088883604,0.002604484,0.008323174,-0.000454895,0.022734774184584916,-0.000176768,0.007509751,-0.000365812
0.007042476,0.002606316,0.003200085,-0.000373054,0.011530968,-0.000123283,0.003196925,-0.000314536
-0.002870366,0.002605208,-0.008130042,-0.000422554,-0.014705496,-0.000155632,-0.015218539,-0.000345548
-0.008745679,0.002602136,0.010110746083853652,-0.000559771,0.003782474,-0.000245305,0.018434195278394405,-0.000431519
0.014594872014199288,0.002602133,0.008260437,-0.000559901,0.003191612,-0.00024539,0.011701916571980497,-0.000431601
0.016987400873746505,0.002600114,0.013345556659321023,-0.000650085,0.027409314732438128,-0.000304326,0.010570695054273436,-0.000488103
0.008144829,0.002601015,0.013980931845183784,-0.000609857,0.000227103,-0.000278036,0.013829495062599005,-0.000462899
0.013129041484070793,0.002600013,0.011008407369466733,-0.000654617,0.015054217697365145,-0.000307287,0.013713520900997533,-0.000490942
0.014048309,0.002599146,0.003644107,-0.000693349,0.000451438,-0.000332599,-0.004185731,-0.000515209
-0.00746201,0.002594732,0.012413842864318122,-0.000890508,0.005221204,-0.000461444,0.016627473672638393,-0.000638734
0.020780423,0.002594544,0.0057268,-0.000898916,0.022501019,-0.00046694,0.009487556,-0.000644002
0.007459304,0.002596676,0.009518783,-0.000803664,-9.30E-05,-0.000404691,-0.002606566,-0.000584324
-0.003708889,0.002597821,-0.001809439,-0.000752552,0.006786936,-0.000371289,-0.001288153,-0.000552301
0.00837449,0.002597985,0.015681856616291952,-0.000745188,0.007945118,-0.000366477,0.022882211492585736,-0.000547687
0.012561181149627343,0.002599056,0.000712779,-0.000697348,0.013997626527475715,-0.000335212,0.003853502,-0.000517714
0.007366615,0.00259887,-0.000170926,-0.000705669,-0.011023493,-0.00034065,-0.009517876,-0.000522928
-0.008862754,0.002599293,-0.007435507,-0.000686782,-0.007407632,-0.000328308,-0.015550423,-0.000511095
-0.011839534,0.002599352,-0.0107908,-0.000684119,-0.030223512,-0.000326567,-0.030483637,-0.000509426
-0.03152432,0.002595318,-0.010411296,-0.000864319,0.003197669,-0.00044433,0.026721126460954595,-0.000622327
0.025424385934201155,0.00259413,0.00479019,-0.000917398,0.008381274,-0.000479017,0.005456921,-0.000655582
0.00553174,0.002750459,0.019563667859455073,-0.00081554,0.026216087,-0.000413702,0.018505074504980845,-0.000452915
0.017629863,0.002596918,0.016380848,-0.000792866,0.013367293,-0.000397634,0.015430744567456632,-0.000577559
0.013810226186552923,0.002681357,0.003077585,-0.000703378,0.008783077,-0.000339822,0.000273453,-0.00044719
0.001990455,0.002953328,-0.004861533,-0.000585428,-0.012412187,-0.000264926,-0.005129479,-0.000130531
-0.003529077,0.003540795,0.011130722705204656,-0.000318496,0.008213073,-9.52E-05,0.013165388949644365,0.000560832
0.008319627,0.003316124,0.013426762,-0.000374643,0.017754012,-0.00013008,0.01582383,0.000324281
0.016829421896458863,0.003197962,0.010698937107026518,-0.000390974,0.017485551146229298,-0.000139797,0.006079243,0.000207874
0.005242062,0.003195632,0.003289484,-0.000345502,0.004826241,-0.000110054,-0.000757626,0.000233345
0.002106389,0.003306741,0.008452749,-0.00032056,-5.56E-06,-9.47E-05,0.019542230961231203,0.000348616
0.018583153677736552,0.002895769,0.015300705572808496,-0.000524554,0.021294289216013732,-0.000224665,0.008650712,-0.000145502
0.011737500560764502,0.00283779,0.002494866,-0.000474388,-0.011769818,-0.000191402,-0.019651508,-0.000167342
-0.016604728,0.003293318,-0.014873896,-0.000293196,-0.019299449,-7.67E-05,-0.008337857,0.00035311
-0.012262556,0.003724341,-0.003433934,-0.0002091,-0.016494385,-2.52E-05,-0.020615126,0.000792601
-0.059418736,0.00437216,-0.037277087,5.602352859527482e-05,-0.034471707,0.000142876,-0.000448868,0.001537264
0.038969964078985564,0.005666529,0.037940395948592436,-0.000178145,0.040066408221708594,0.000383457,0.039312041,0.00197799
0.038369713,0.005225295,0.014606351454029106,7.596982113185062e-05,0.042515849237594994,0.000336845,0.014468175411846751,0.002046904
0.014832961038315105,0.005240596,0.001488495,-0.000275975,0.001839387,0.000420117,0.002447381,0.001394382
-0.002796271,0.006367627,-0.004906554,-0.001324413,-0.028471767,0.000811245,-0.042486365,0.000205905
-0.03232999,0.008859417,0.002201302,-0.001902939,0.000803285,0.002100021,0.04023358,-0.001514458
0.031815126,0.009462905,0.017263155304896527,-0.001671635,0.036539909,0.002140661,0.013602828445432149,-0.000843968
0.017219292257792507,0.009408086,0.005895157,-0.002225045,0.016854304078984583,0.001926032,0.006246349,-0.001191457
0.002559589,0.009743006,-0.000386655,-0.002644835,-0.004385028,0.00218527,0.002248087,-0.002196964
0.001969745,0.011311187,0.009885232,-0.002702969,0.002264733,0.003211699,0.011121402259480995,-0.003732953
0.016035807633281607,0.012762020721903786,0.009675167,-0.002591477,0.020684541,0.003844479,0.008536523,-0.004172036
0.004804576,0.012559791833123207,-0.001963106,-0.003076921,-0.00724782,0.003580104,-0.009642453,-0.004408776
-0.004078249,0.013846544654105768,-0.002723743,-0.002724914,-0.010334268,0.004398452,-0.013656796,-0.005100279
-0.018646139,0.015145153337756923,0.027604155148349015,-0.003239452,-0.001113494,0.007143088,0.046561277,-0.006403909
0.049555027514887495,0.014121197087120613,0.0008083,-0.003774273,0.027472962645369803,0.005638426,-0.020835475,-0.005744022
-0.022415224,0.013233757555245104,-0.0073804,-0.003921785,0.00038959,0.004607738,0.016815894163118687,-0.006093532
0.020106647382027054,0.012280487258785387,0.011932230691373833,-0.004165871,0.018550766309245237,0.003565707,0.010560638313883874,-0.00624085
0.00798195,0.008866712,0.009232085,-0.004909243,0.011650071622212098,0.001882487,0.009596567,-0.005852434
0.007102504,0.011837795312406049,-0.001209903,-0.003809729,-0.000580105,0.003278294,-0.006433241,-0.005509235
-0.003159575,0.014527439173810282,-0.001214574,-0.002714437,-0.03276848,0.004714665,-0.019870759,-0.005591966
-0.020373403,0.017375229,-0.005823966,-0.001803093,0.012048423758115547,0.008522338,0.006742667,-0.006817187
-0.003296171,0.016554543719686975,-0.016597406,-0.000839881,-0.012374278,0.005798655,-0.004751363,-0.004644914
0.010495457024071175,0.017293744,0.01205179,-0.000548287,-0.003731004,0.006846216,-0.019424612,-0.005194028
-0.033561159,0.019437106796563818,-0.001009805,-0.000496095,-0.005935095,0.009548184,0.029109139,-0.007179825
0.040141697,0.020145251112777762,0.018823104,-0.000473333,0.04045683,0.010706358656562116,0.017439720677851378,-0.007237484
-0.007495706,0.020276594592887023,-0.001186326,0.000135684,-0.007318269,0.008156123,-0.00995051,-0.005780706
0.000102171,0.020310924,-0.0032071,-0.000210605,-0.0065387,0.009781961,-0.002406999,-0.007600288
0.012856700351869367,0.020714510412716932,0.004292612,-0.000751553,0.013347528,0.011991963390738354,0.014709557266100235,-0.009181368
0.012437185,0.020400166535251254,0.003257455,-0.000867854,0.000926213,0.011156581700700214,-0.016599533,-0.00870735
-0.015504142,0.020414254131995994,-0.016881895,-0.000554325,-0.028442738,0.010866611,-0.00975031,-0.008733394
-0.009683568,0.021498576812815907,-0.009524056,-0.001543111,-0.02935596,0.014854441231223096,-0.030951349,-0.012270968
-0.044059219,0.025299606,-0.046895341,-0.001886642,-0.028526626,0.019798575,-0.022747955,-0.014992803
-0.012228833,0.025365832355065124,0.001745717,-0.004547579,0.016914765685935196,0.025686879,0.005075443,-0.017388911
0.014635527546223768,0.028412372183030964,0.01253123,-0.003612928,-0.004526783,0.028648509922875924,-0.015283493,-0.016764086
-0.033257653,0.030638169343403333,-0.015835653,-0.003122209,-0.090179855,0.029585466,-0.090819803,-0.017265634
-0.103858439,0.032910711,-0.037569546,-0.004872391,-0.046324359,0.039796705,0.057011277,-0.021789608
0.098544734,0.033513275337819635,-0.003991703,-0.007892001,0.079782173,0.056571301063856896,-0.015039018,-0.022964812
-0.038408959,0.03576153,0.012574485907936195,-0.006181796,-0.022824162,0.052883809,0.045906403,-0.022011392
0.056618321,0.034842189,0.031220496,-0.007539885,0.065000864,0.053685422,0.029222411832129588,-0.020201075
0.022806038550693408,0.035930973,0.003403074,-0.008505468,0.026761176769588557,0.046145491956178404,-0.004705701,-0.021448717
0.026856195,0.034938911,0.041698574405888644,-0.010004016,0.037184679,0.041836674345267014,0.052734004307985805,-0.022905035
0.016476044,0.033711422,0.00167652,-0.013538227,-0.003226696,0.036729679,-0.026107778,-0.024589519
-0.008268855,0.032271705248998604,-0.004268997,-0.014577072,0.013220838805329206,0.036001973,0.018761588414845765,-0.026593593
0.007278757,0.029230408738290563,0.012407643081847608,-0.016155395,0.003040906,0.035484033758915186,0.014999081946761807,-0.026086854
0.018306861,0.027078873337901165,0.007068423,-0.017266419,0.017364326129276852,0.034802574427019214,-0.003898041,-0.02675423
-0.0001049,0.026636278423438183,-0.001414302,-0.017034151,-0.001785934,0.034059246,-0.001527592,-0.028815894
-0.005717868,0.023914400200043665,0.022616747766722296,-0.017640475,-0.001567406,0.03336284,0.034389324419234146,-0.029041832
0.037471074,0.019258291349822005,0.015671419,-0.018309195,0.038992304712516246,0.032113243360784166,0.017216762,-0.027384942
0.010604934515536568,0.013025861283794512,0.000886336,-0.017312933,0.00421537,0.028078390779500615,-0.003121358,-0.022344156
-0.000621523,0.012457291988593862,0.004036369,-0.016741638,9.512074665374339e-05,0.02787795,0.005917175,-0.023162926
0.007927921,0.012832764176475255,0.012700271656081567,-0.015958204,0.012919286700046053,0.027960808567492362,0.014586813,-0.023797974
0.014742828978815849,0.009380383,0.004878217,-0.015763312,-0.010987457,0.020193589,-0.023577846,-0.019815004
-0.01969148,0.006957709,-0.004957175,-0.015352264,0.009499914,0.016200416143093494,0.024277042739179862,-0.019369279
0.018808261,0.009693433,0.013475766891588583,-0.012555398,0.014724867417568845,0.017728818783985835,0.009445196,-0.015850292
0.008662435,0.010838287510916282,-0.000377963,-0.010395419,-0.003174105,0.015907991,0.00265285,-0.014115098
0.001962741,0.015218235,0.004528529,-0.008736411,0.013453969585656146,0.018133227251849803,-0.001028372,-0.013111459
-0.008696659,0.017369809474668464,0.00375216,-0.007173456,-0.010674699,0.018298043,0.00328783,-0.011935413
0.015087078,0.021018840237037397,0.010341907128608161,-0.005300474,0.019259249706059967,0.020068593,0.015858989286816397,-0.012187432
0.016220211348166647,0.022309258708193336,0.010849634133620613,-0.003926086,0.010499611820071308,0.018259268,0.012160737717160199,-0.011252486
0.007691319,0.023200832877837932,0.00415182,-0.003519608,0.002758342,0.019673938053019178,-0.003100023,-0.011543225
0.001097082,0.024475689,0.007664743,-0.003428526,0.010926682742961932,0.021556347851272993,0.010850857448513995,-0.012379974
0.010850246384277451,0.025691448106813928,0.002030844,-0.003511838,-0.013585336,0.022914431585162525,-0.024312891,-0.013414092
-0.016532877,0.027125110842931215,-0.005981149,-0.003185549,0.00065489,0.024359282,0.017016380591287072,-0.014471614
0.010195502583104865,0.029267863,0.012342098,-0.003859578,0.015349968785342671,0.027198949,0.019159662,-0.016486167
0.023230044736155753,0.030993891942531996,0.016634075656620784,-0.003328806,0.023824701,0.028182351543885664,0.00714259,-0.016262779
0.005384571,0.032175047,-0.005493953,-0.002821008,-0.026829007,0.02799973,-0.01628613,-0.01619018
-0.014088267,0.033554215618971685,-0.001803123,-0.003019533,0.002326821,0.030003056379836045,0.000789154,-0.017967579
-0.010574237,0.035197821,-0.014492192,-0.002711835,-0.018798351,0.031833927,-0.019470967,-0.018934481
-0.01147964,0.035958566,0.011891521777119165,-0.00492304,0.016679179557639534,0.03527818,0.037270933,-0.02146917
0.026483644277060403,0.036463422941324417,0.00655683,-0.003775676,0.025523661319115657,0.033850706885391275,0.003111371,-0.020761105
0.009233356,0.038073394,0.00111375,-0.003133292,0.000272076,0.03384416,-0.006257241,-0.021749383
-0.002183246,0.038228167560478456,-0.006065092,-0.003401499,-0.011961537,0.03452191,0.001038438,-0.022501697
0.000731761,0.038900426,0.012268319398007542,-0.004043775,0.020134136514262657,0.036679747,0.013964436521508587,-0.024735564
